slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
smartma01,Marcus Smart,SHOOTING GUARD,25,BOSTON CELTICS,53,39,1721,240,632,128,368,106,127,40,164,257,86,27,89,142
smithde03,Dennis Smith Jr.,POINT GUARD,22,NEW YORK KNICKS,34,3,537,72,211,16,54,27,53,21,57,98,28,8,58,65
smithis01,Ish Smith,POINT GUARD,31,WASHINGTON WIZARDS,60,19,1570,262,581,55,150,48,70,28,161,285,52,24,77,84
smithzh01,Zhaire Smith,SHOOTING GUARD,20,PHILADELPHIA 76ERS,7,0,32,3,11,0,3,2,4,0,2,2,3,0,2,4
snellto01,Tony Snell,SMALL FORWARD,28,DETROIT PISTONS,59,57,1641,170,382,102,254,32,32,9,102,127,32,15,31,101
spellom01,Omari Spellman,POWER FORWARD,22,GOLDEN STATE WARRIORS,49,3,886,127,295,43,110,73,92,77,142,47,33,24,54,63
strusma01,Max Strus,SHOOTING GUARD,23,CHICAGO BULLS,2,0,6,2,3,0,1,1,1,1,0,0,0,0,0,1
sumneed01,Edmond Sumner,POINT GUARD,24,INDIANA PACERS,25,2,345,47,111,10,38,10,15,10,27,39,15,8,19,35
swanica01,Caleb Swanigan,POWER FORWARD,22,SACRAMENTO KINGS,7,0,23,2,4,0,0,1,2,2,5,2,1,2,6,8
swanica01,Caleb Swanigan,POWER FORWARD,22,PORTLAND TRAIL BLAZERS,20,1,265,26,43,0,2,8,15,25,68,29,2,5,31,54
tatumja01,Jayson Tatum,POWER FORWARD,21,BOSTON CELTICS,59,59,2043,499,1113,167,420,225,279,57,361,174,83,53,132,121
teaguje01,Jeff Teague,POINT GUARD,31,MINNESOTA TIMBERWOLVES,34,13,945,145,324,33,87,125,144,15,73,208,25,13,76,70
teaguje01,Jeff Teague,POINT GUARD,31,ATLANTA HAWKS,25,4,519,68,165,10,30,47,53,12,42,100,19,6,40,36
templga01,Garrett Temple,SHOOTING GUARD,33,BROOKLYN NETS,55,31,1547,198,524,112,346,56,73,28,162,141,44,26,57,95
theisda01,Daniel Theis,CENTER,27,BOSTON CELTICS,58,57,1382,216,382,26,81,81,106,130,250,95,35,75,48,201
thomais02,Isaiah Thomas,POINT GUARD,30,WASHINGTON WIZARDS,40,37,925,174,426,78,189,62,76,11,57,146,13,6,77,77
thomakh01,Khyri Thomas,SHOOTING GUARD,23,DETROIT PISTONS,8,0,61,5,17,5,14,2,4,1,0,3,3,0,3,9
thomama02,Matt Thomas,SHOOTING GUARD,25,TORONTO RAPTORS,33,0,321,54,111,35,75,7,10,7,41,17,8,0,12,31
thomptr01,Tristan Thompson,CENTER,28,CLEVELAND CAVALIERS,57,51,1721,288,562,9,23,99,161,226,351,120,33,50,103,124
thybuma01,Matisse Thybulle,SHOOTING GUARD,22,PHILADELPHIA 76ERS,57,13,1110,96,234,50,142,25,41,35,51,70,80,40,45,120
tollian01,Anthony Tolliver,POWER FORWARD,34,PORTLAND TRAIL BLAZERS,33,9,554,43,117,30,89,13,19,27,83,29,8,9,21,54
tollian01,Anthony Tolliver,POWER FORWARD,34,SACRAMENTO KINGS,9,0,82,3,17,2,15,1,2,2,9,3,4,1,4,6
tollian01,Anthony Tolliver,POWER FORWARD,34,MEMPHIS GRIZZLIES,5,0,96,8,21,7,17,4,4,1,11,1,3,1,5,4
toscaju01,Juan Toscano-Anderson,SMALL FORWARD,26,GOLDEN STATE WARRIORS,13,6,272,29,63,8,23,3,5,9,43,26,13,5,16,30
townska01,Karl-Anthony Towns,CENTER,24,MINNESOTA TIMBERWOLVES,35,35,1187,316,622,114,277,180,226,95,283,153,33,42,110,117
trentga02,Gary Trent Jr.,SHOOTING GUARD,21,PORTLAND TRAIL BLAZERS,53,8,1059,149,350,78,201,30,36,20,68,50,39,13,19,69
trieral01,Allonzo Trier,POINT GUARD,24,NEW YORK KNICKS,24,1,291,51,106,19,53,34,43,6,23,28,3,4,22,29
tuckepj01,P.J. Tucker,POWER FORWARD,34,HOUSTON ROCKETS,64,64,2203,162,374,95,257,37,44,102,339,101,70,31,67,209
tuckera01,Rayjon Tucker,SHOOTING GUARD,22,UTAH JAZZ,14,0,78,8,19,0,6,3,5,2,11,2,1,0,3,7
turneev01,Evan Turner,POINT GUARD,31,ATLANTA HAWKS,19,0,251,25,67,0,5,12,14,8,30,38,9,8,26,20
turnemy01,Myles Turner,CENTER,23,INDIANA PACERS,55,55,1628,233,517,77,229,108,144,70,290,61,42,120,68,138
uthofja01,Jarrod Uthoff,SMALL FORWARD,26,MEMPHIS GRIZZLIES,4,0,14,1,7,0,4,2,2,1,0,0,1,0,0,1
