slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
bogdabo02,Bojan Bogdanović,SMALL FORWARD,30,UTAH JAZZ,63,63,2083,418,935,189,457,250,277,39,220,131,34,7,159,110
boldejo01,Jonah Bolden,POWER FORWARD,24,PHILADELPHIA 76ERS,4,0,14,2,3,0,1,0,2,0,1,0,1,0,2,4
boldejo01,Jonah Bolden,POWER FORWARD,24,PHOENIX SUNS,3,0,33,2,8,0,3,2,2,3,5,0,2,2,0,6
boldema01,Marques Bolden,CENTER,21,CLEVELAND CAVALIERS,1,0,3,0,0,0,0,0,0,0,2,0,1,0,0,1
bonejo01,Jordan Bone,POINT GUARD,22,DETROIT PISTONS,10,0,53,5,20,2,10,0,0,0,4,8,1,0,2,6
bongais01,Isaac Bonga,SMALL FORWARD,20,WASHINGTON WIZARDS,58,41,1025,96,184,22,55,52,64,61,122,61,37,21,41,136
bookede01,Devin Booker,SHOOTING GUARD,23,PHOENIX SUNS,62,62,2241,544,1118,126,350,405,442,27,231,408,45,16,244,188
bouchch01,Chris Boucher,POWER FORWARD,27,TORONTO RAPTORS,55,0,724,119,260,28,99,82,103,94,148,23,20,53,23,104
bowenbr02,Brian Bowen,SHOOTING GUARD,21,INDIANA PACERS,5,1,29,2,9,0,2,0,0,1,6,0,0,1,1,2
bowmaky01,Ky Bowman,POINT GUARD,22,GOLDEN STATE WARRIORS,45,12,1015,134,321,33,107,34,41,24,97,131,44,10,70,102
bradlav01,Avery Bradley,SHOOTING GUARD,29,LOS ANGELES LAKERS,49,44,1186,170,383,63,173,20,24,18,97,63,43,5,47,110
bradlto01,Tony Bradley,CENTER,22,UTAH JAZZ,50,2,535,103,155,1,1,26,40,90,126,17,12,25,23,98
brantja01,Jarrell Brantley,POWER FORWARD,23,UTAH JAZZ,5,0,13,0,0,0,0,0,0,0,5,1,0,2,2,2
brazdig01,Ignas Brazdeikis,SMALL FORWARD,21,NEW YORK KNICKS,9,0,53,6,22,1,9,4,5,2,3,4,0,1,2,3
bridgmi01,Mikal Bridges,SMALL FORWARD,23,PHOENIX SUNS,65,24,1772,210,407,56,159,89,105,59,200,115,93,39,65,142
bridgmi02,Miles Bridges,SMALL FORWARD,21,CHARLOTTE HORNETS,65,64,1995,319,753,99,300,106,131,88,274,114,40,48,95,132
brissos01,Oshae Brissett,SMALL FORWARD,21,TORONTO RAPTORS,19,0,135,13,36,3,15,8,10,9,17,7,4,1,7,18
broekry01,Ryan Broekhoff,SHOOTING GUARD,29,DALLAS MAVERICKS,17,1,180,22,59,20,51,7,8,5,38,11,5,4,6,15
brogdma01,Malcolm Brogdon,POINT GUARD,27,INDIANA PACERS,48,48,1472,289,659,61,195,145,162,40,186,343,33,8,115,88
brookdi01,Dillon Brooks,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,65,65,1851,372,925,132,358,144,178,61,152,128,57,25,108,246
brownbr01,Bruce Brown,SHOOTING GUARD,23,DETROIT PISTONS,58,43,1634,198,447,33,96,88,119,61,213,230,63,29,100,162
brownch02,Charlie Brown,SHOOTING GUARD,22,ATLANTA HAWKS,10,0,40,6,19,3,9,5,5,2,2,2,2,2,3,3
brownja02,Jaylen Brown,SMALL FORWARD,23,BOSTON CELTICS,50,50,1702,378,772,107,281,159,216,54,264,109,56,16,116,151
brownmo01,Moses Brown,CENTER,20,PORTLAND TRAIL BLAZERS,9,0,33,4,10,0,0,3,8,3,11,1,1,1,3,7
brownst02,Sterling Brown,SMALL FORWARD,24,MILWAUKEE BUCKS,45,1,665,80,218,36,114,27,35,28,137,46,22,7,36,45
browntr01,Troy Brown Jr.,SHOOTING GUARD,20,WASHINGTON WIZARDS,61,14,1519,229,506,50,145,86,114,64,261,142,76,6,65,110
brunsja01,Jalen Brunson,POINT GUARD,23,DALLAS MAVERICKS,57,16,1022,181,388,43,120,61,75,22,112,188,22,4,66,74
bryanth01,Thomas Bryant,CENTER,22,WASHINGTON WIZARDS,38,28,901,184,307,22,54,70,95,75,185,71,14,33,48,85
bullore01,Reggie Bullock,SHOOTING GUARD,28,NEW YORK KNICKS,29,19,684,90,224,37,111,17,21,13,55,42,25,3,19,56
burketr01,Trey Burke,POINT GUARD,27,PHILADELPHIA 76ERS,25,0,329,59,127,16,38,13,18,15,20,53,7,1,12,21
burksal01,Alec Burks,SHOOTING GUARD,28,GOLDEN STATE WARRIORS,48,18,1390,244,601,84,224,201,224,37,189,151,50,17,76,107
burksal01,Alec Burks,SHOOTING GUARD,28,PHILADELPHIA 76ERS,11,0,222,39,100,16,49,24,27,6,30,20,8,0,9,13
burtode02,Deonte Burton,SHOOTING GUARD,26,OKLAHOMA CITY THUNDER,34,0,284,39,105,10,46,6,12,6,42,11,5,10,14,28
butleji01,Jimmy Butler,SMALL FORWARD,30,MIAMI HEAT,54,54,1851,328,722,29,117,408,490,98,261,331,92,29,118,74
cabocbr01,Bruno Caboclo,SMALL FORWARD,24,MEMPHIS GRIZZLIES,22,0,192,28,69,4,25,2,3,17,27,10,10,12,7,23
cabocbr01,Bruno Caboclo,SMALL FORWARD,24,HOUSTON ROCKETS,5,0,28,4,8,0,3,2,2,5,4,2,2,4,2,2
caldwke01,Kentavious Caldwell-Pope,SHOOTING GUARD,26,LOS ANGELES LAKERS,63,20,1603,220,466,87,221,74,95,37,95,105,53,13,55,117
cancavl01,Vlatko Čančar,SMALL FORWARD,22,DENVER NUGGETS,14,0,45,6,15,1,6,4,4,5,5,3,1,1,3,7
capelca01,Clint Capela,CENTER,25,HOUSTON ROCKETS,39,39,1279,244,388,0,0,55,104,168,369,48,33,72,63,102
carrode01,DeMarre Carroll,SMALL FORWARD,33,SAN ANTONIO SPURS,15,0,135,9,29,3,13,12,20,7,24,11,2,2,10,20
carrode01,DeMarre Carroll,SMALL FORWARD,33,HOUSTON ROCKETS,6,0,96,12,25,4,14,12,16,4,12,7,2,2,6,8
carteje01,Jevon Carter,POINT GUARD,24,PHOENIX SUNS,50,2,754,82,205,46,117,21,25,25,73,65,38,13,31,76
cartevi01,Vince Carter,SMALL FORWARD,43,ATLANTA HAWKS,60,0,876,107,304,61,202,23,29,18,106,48,23,25,33,90
cartewe01,Wendell Carter Jr.,CENTER,20,CHICAGO BULLS,43,43,1256,183,343,6,29,112,152,139,266,51,33,36,72,162
cartemi01,Michael Carter-Williams,SHOOTING GUARD,28,ORLANDO MAGIC,42,0,773,105,242,20,68,72,87,44,96,102,45,20,48,78
carusal01,Alex Caruso,POINT GUARD,25,LOS ANGELES LAKERS,58,1,1032,110,260,38,107,58,76,14,98,102,60,17,46,85
caulewi01,Willie Cauley-Stein,CENTER,26,GOLDEN STATE WARRIORS,41,37,940,144,257,0,0,35,57,71,184,60,45,50,35,102
caulewi01,Willie Cauley-Stein,CENTER,26,DALLAS MAVERICKS,13,2,157,31,45,0,1,5,9,13,47,10,4,11,5,19
chandty01,Tyson Chandler,CENTER,37,HOUSTON ROCKETS,26,5,219,14,18,0,0,6,13,25,41,6,6,8,8,32
chandwi01,Wilson Chandler,SMALL FORWARD,32,BROOKLYN NETS,35,3,734,74,183,37,121,20,23,11,134,39,16,12,34,79
chealjo01,Joe Chealey,POINT GUARD,24,CHARLOTTE HORNETS,4,0,33,0,7,0,4,2,2,0,0,1,4,0,2,2
cheatzy01,Zylan Cheatham,SMALL FORWARD,24,NEW ORLEANS PELICANS,3,0,31,2,5,0,1,0,0,1,5,2,0,1,3,5
chiozch01,Chris Chiozza,POINT GUARD,24,WASHINGTON WIZARDS,10,0,123,10,34,7,16,0,0,0,15,28,10,2,9,12
chiozch01,Chris Chiozza,POINT GUARD,24,BROOKLYN NETS,11,0,126,22,45,11,25,2,2,6,14,20,5,0,8,11
chrisma01,Marquese Chriss,POWER FORWARD,22,GOLDEN STATE WARRIORS,59,21,1196,210,385,8,39,120,156,114,251,114,39,62,78,122
clarkga01,Gary Clark,POWER FORWARD,25,HOUSTON ROCKETS,18,0,212,23,59,18,51,6,7,11,29,12,2,7,2,21
clarkga01,Gary Clark,POWER FORWARD,25,ORLANDO MAGIC,17,1,213,15,42,10,35,2,2,16,29,3,3,7,3,10
clarkbr01,Brandon Clarke,POWER FORWARD,23,MEMPHIS GRIZZLIES,50,3,1086,254,408,21,52,73,93,78,214,72,26,42,46,82
clarkjo01,Jordan Clarkson,SHOOTING GUARD,27,CLEVELAND CAVALIERS,29,0,666,144,326,59,159,76,86,21,48,70,17,8,39,33
clarkjo01,Jordan Clarkson,SHOOTING GUARD,27,UTAH JAZZ,34,0,861,206,427,71,194,46,59,26,72,54,26,7,43,59
claxtni01,Nicolas Claxton,POWER FORWARD,20,BROOKLYN NETS,15,0,187,27,48,1,7,11,21,19,25,16,1,8,9,14
clemoch01,Chris Clemons,SHOOTING GUARD,22,HOUSTON ROCKETS,29,0,251,51,126,33,94,6,7,3,20,22,6,5,17,20
clevean01,Antonius Cleveland,SHOOTING GUARD,25,DALLAS MAVERICKS,6,0,22,2,6,0,1,1,2,0,3,0,1,1,1,2
coffeam01,Amir Coffey,SHOOTING GUARD,22,LOS ANGELES CLIPPERS,13,0,98,13,33,1,7,1,3,4,10,9,1,1,3,12
collijo01,John Collins,POWER FORWARD,22,ATLANTA HAWKS,41,41,1363,353,605,59,147,120,150,116,300,60,31,66,75,138
colliza01,Zach Collins,POWER FORWARD,22,PORTLAND TRAIL BLAZERS,3,3,86,9,19,3,7,6,6,4,8,6,0,2,6,11
conlemi01,Mike Conley,POINT GUARD,32,UTAH JAZZ,41,35,1171,197,486,80,213,93,117,27,106,178,31,4,76,92
connapa01,Pat Connaughton,SHOOTING GUARD,27,MILWAUKEE BUCKS,61,1,1119,119,261,44,137,27,36,56,203,95,20,30,47,60
cookqu01,Quinn Cook,POINT GUARD,26,LOS ANGELES LAKERS,38,0,409,76,173,25,66,6,9,7,33,40,11,1,25,23
cookty01,Tyler Cook,POWER FORWARD,22,CLEVELAND CAVALIERS,11,0,35,7,10,0,0,5,6,4,6,1,1,0,1,4
covinro01,Robert Covington,POWER FORWARD,29,MINNESOTA TIMBERWOLVES,48,47,1411,216,496,108,312,75,94,36,251,56,80,45,73,148
covinro01,Robert Covington,POWER FORWARD,29,HOUSTON ROCKETS,14,13,456,64,152,40,112,11,14,18,92,18,15,35,20,48
crabbal01,Allen Crabbe,SHOOTING GUARD,27,ATLANTA HAWKS,28,1,522,52,143,30,93,9,12,10,55,28,15,4,12,36
crabbal01,Allen Crabbe,SHOOTING GUARD,27,MINNESOTA TIMBERWOLVES,9,0,131,11,34,6,26,1,2,1,11,5,0,0,5,11
craigto01,Torrey Craig,SMALL FORWARD,29,DENVER NUGGETS,50,19,869,96,208,36,109,20,31,48,108,34,18,32,22,112
crowdja01,Jae Crowder,SMALL FORWARD,29,MEMPHIS GRIZZLIES,45,45,1322,147,399,78,266,75,95,40,237,125,47,14,54,85
crowdja01,Jae Crowder,SMALL FORWARD,29,MIAMI HEAT,13,1,373,50,114,35,89,20,26,8,68,26,20,7,8,41
culveja01,Jarrett Culver,SHOOTING GUARD,20,MINNESOTA TIMBERWOLVES,63,35,1506,230,569,66,221,54,117,70,142,110,57,38,81,125
curryse01,Seth Curry,SHOOTING GUARD,29,DALLAS MAVERICKS,59,20,1448,266,532,136,300,74,88,26,113,119,36,8,60,101
curryst01,Stephen Curry,POINT GUARD,31,GOLDEN STATE WARRIORS,5,5,139,33,82,12,49,26,26,4,22,33,5,2,16,11
danietr01,Troy Daniels,SHOOTING GUARD,28,LOS ANGELES LAKERS,41,0,456,62,158,40,112,10,16,12,34,14,8,3,9,30
danietr01,Troy Daniels,SHOOTING GUARD,28,DENVER NUGGETS,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
davisan02,Anthony Davis,POWER FORWARD,26,LOS ANGELES LAKERS,55,55,1889,508,994,65,194,386,457,124,393,172,82,134,135,138
davised01,Ed Davis,CENTER,30,UTAH JAZZ,25,0,268,14,34,0,0,5,11,29,66,8,10,9,13,55
daviste02,Terence Davis,SHOOTING GUARD,22,TORONTO RAPTORS,64,2,1087,181,391,88,222,45,52,46,171,107,32,12,65,104
dedmode01,Dewayne Dedmon,CENTER,30,SACRAMENTO KINGS,34,10,541,69,171,14,71,23,28,46,121,15,15,26,47,93
dedmode01,Dewayne Dedmon,CENTER,30,ATLANTA HAWKS,10,8,233,33,84,8,36,7,8,14,68,7,10,15,10,40
dellama01,Matthew Dellavedova,POINT GUARD,29,CLEVELAND CAVALIERS,57,4,821,62,175,21,91,32,37,18,57,180,20,2,59,78
derozde01,DeMar DeRozan,SMALL FORWARD,30,SAN ANTONIO SPURS,61,61,2091,503,956,8,30,338,401,39,305,340,62,14,147,164
diallch01,Cheick Diallo,CENTER,23,PHOENIX SUNS,44,2,467,89,137,1,2,32,37,28,99,22,10,12,30,54
diallha01,Hamidou Diallo,SMALL FORWARD,21,OKLAHOMA CITY THUNDER,38,3,699,99,219,7,35,28,45,29,93,22,28,8,37,82
dienggo01,Gorgui Dieng,CENTER,30,MINNESOTA TIMBERWOLVES,46,17,778,124,277,46,120,47,59,73,183,58,37,42,44,89
dienggo01,Gorgui Dieng,CENTER,30,MEMPHIS GRIZZLIES,12,0,234,34,66,5,22,14,24,14,66,13,11,14,11,23
dinwisp01,Spencer Dinwiddie,SHOOTING GUARD,26,BROOKLYN NETS,64,49,1994,424,1021,123,400,347,446,32,189,432,40,21,174,180
divindo01,Donte DiVincenzo,SHOOTING GUARD,23,MILWAUKEE BUCKS,59,22,1362,209,452,76,221,60,78,59,230,136,80,18,72,97
doncilu01,Luka Dončić,POINT GUARD,20,DALLAS MAVERICKS,54,54,1799,512,1111,156,491,369,491,69,433,470,59,10,227,134
dortlu01,Luguentz Dort,SHOOTING GUARD,20,OKLAHOMA CITY THUNDER,29,21,637,65,157,22,73,28,36,15,39,21,23,2,15,78
dotsoda01,Damyean Dotson,SHOOTING GUARD,25,NEW YORK KNICKS,48,0,836,120,290,59,163,22,33,10,81,57,23,4,21,44
doumbse01,Sekou Doumbouya,SMALL FORWARD,19,DETROIT PISTONS,38,19,754,92,236,28,98,31,46,20,98,19,20,8,35,80
doziepj01,PJ Dozier,POINT GUARD,23,DENVER NUGGETS,21,0,234,36,91,7,28,7,11,5,25,29,7,5,11,27
dragigo01,Goran Dragić,POINT GUARD,33,MIAMI HEAT,54,1,1531,290,663,118,313,170,221,26,140,273,31,8,133,105
drumman01,Andre Drummond,CENTER,26,DETROIT PISTONS,49,48,1654,360,679,1,21,149,255,226,549,138,97,82,174,176
drumman01,Andre Drummond,CENTER,26,CLEVELAND CAVALIERS,8,8,225,58,105,4,14,20,39,24,65,14,12,11,29,25
dudleja01,Jared Dudley,SMALL FORWARD,34,LOS ANGELES LAKERS,40,1,311,20,50,16,34,2,2,5,38,19,12,3,6,36
dunnkr01,Kris Dunn,POINT GUARD,25,CHICAGO BULLS,51,32,1269,152,342,29,112,40,54,23,163,173,101,17,68,158
edwarca01,Carsen Edwards,SHOOTING GUARD,21,BOSTON CELTICS,35,0,316,37,113,21,68,11,13,6,37,22,10,3,15,33
ellenhe01,Henry Ellenson,POWER FORWARD,23,BROOKLYN NETS,5,0,15,1,7,0,4,0,0,2,4,1,0,0,0,1
ellinwa01,Wayne Ellington,SHOOTING GUARD,32,NEW YORK KNICKS,36,1,558,61,174,50,143,11,13,4,61,44,13,4,18,41
embiijo01,Joel Embiid,CENTER,25,PHILADELPHIA 76ERS,44,44,1329,332,701,56,161,311,382,122,398,137,38,58,135,151
ennisja01,James Ennis,SMALL FORWARD,29,PHILADELPHIA 76ERS,49,0,776,100,226,37,106,48,61,48,102,41,23,14,31,85
ennisja01,James Ennis,SMALL FORWARD,29,ORLANDO MAGIC,12,10,277,28,68,10,33,15,17,13,36,13,6,6,12,24
eubandr01,Drew Eubanks,POWER FORWARD,22,SAN ANTONIO SPURS,14,3,130,21,28,1,1,8,11,8,27,5,2,6,10,21
evansja02,Jacob Evans,SHOOTING GUARD,22,GOLDEN STATE WARRIORS,27,1,414,45,133,13,38,25,29,9,32,31,11,12,25,41
evansja02,Jacob Evans,SHOOTING GUARD,22,MINNESOTA TIMBERWOLVES,2,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
exumda01,Dante Exum,SHOOTING GUARD,24,UTAH JAZZ,11,0,83,10,23,2,6,2,2,3,9,7,1,2,10,8
exumda01,Dante Exum,SHOOTING GUARD,24,CLEVELAND CAVALIERS,24,1,402,46,96,13,37,30,41,9,46,33,12,6,21,30
fallta01,Tacko Fall,CENTER,24,BOSTON CELTICS,6,0,24,9,12,0,0,1,3,0,11,0,0,2,3,5
favorde01,Derrick Favors,CENTER,28,NEW ORLEANS PELICANS,45,43,1089,189,305,1,7,36,62,147,298,75,25,44,51,99
feliccr01,Cristiano Felício,POWER FORWARD,27,CHICAGO BULLS,22,0,386,34,54,0,2,18,23,55,47,16,10,2,18,34
fergute01,Terrance Ferguson,SMALL FORWARD,21,OKLAHOMA CITY THUNDER,50,37,1170,74,199,46,155,15,19,23,50,45,26,16,30,144
fernabr01,Bruno Fernando,CENTER,21,ATLANTA HAWKS,56,13,713,103,199,5,37,29,51,67,131,49,18,17,42,107
ferreyo01,Yogi Ferrell,POINT GUARD,26,SACRAMENTO KINGS,44,0,484,67,169,19,69,32,37,6,42,59,14,4,25,31
finnedo01,Dorian Finney-Smith,POWER FORWARD,26,DALLAS MAVERICKS,64,61,1898,214,457,99,265,70,97,125,227,97,44,37,63,154
forbebr01,Bryn Forbes,SHOOTING GUARD,26,SAN ANTONIO SPURS,63,62,1579,242,581,148,381,75,90,12,114,108,33,0,57,113
fournev01,Evan Fournier,SHOOTING GUARD,27,ORLANDO MAGIC,61,61,1931,408,869,165,406,168,205,17,140,193,70,14,120,147
foxde01,De'Aaron Fox,POINT GUARD,22,SACRAMENTO KINGS,45,43,1426,329,692,47,153,215,306,30,151,304,64,23,141,129
frazime01,Melvin Frazier,SHOOTING GUARD,23,ORLANDO MAGIC,15,0,51,6,17,4,7,2,4,1,3,1,4,2,3,8
frazimi01,Michael Frazier,SHOOTING GUARD,25,HOUSTON ROCKETS,8,0,66,4,11,2,8,4,6,1,2,1,2,0,2,13
fraziti01,Tim Frazier,POINT GUARD,29,DETROIT PISTONS,27,11,355,34,94,10,30,19,24,9,24,93,14,4,36,42
fultzma01,Markelle Fultz,POINT GUARD,21,ORLANDO MAGIC,64,59,1813,320,676,30,118,102,141,35,178,334,83,10,131,126
gabriwe01,Wenyen Gabriel,POWER FORWARD,22,SACRAMENTO KINGS,11,0,61,6,17,1,8,6,10,4,6,3,3,2,5,7
gabriwe01,Wenyen Gabriel,POWER FORWARD,22,PORTLAND TRAIL BLAZERS,17,1,149,14,29,5,12,8,10,14,22,5,7,4,11,28
gaffoda01,Daniel Gafford,CENTER,21,CHICAGO BULLS,43,7,609,94,134,0,0,32,60,52,54,21,13,56,29,98
gallida01,Danilo Gallinari,POWER FORWARD,31,OKLAHOMA CITY THUNDER,55,55,1690,329,749,165,403,234,264,32,270,113,40,4,70,66
gallola01,Langston Galloway,SHOOTING GUARD,28,DETROIT PISTONS,66,6,1702,236,542,132,331,73,85,33,116,101,48,11,40,96
garlada01,Darius Garland,POINT GUARD,20,CLEVELAND CAVALIERS,59,59,1824,280,699,105,296,63,72,27,84,229,42,4,151,92
gasolma01,Marc Gasol,CENTER,35,TORONTO RAPTORS,36,35,990,99,236,51,127,26,36,29,199,124,28,33,43,101
gayru01,Rudy Gay,POWER FORWARD,33,SAN ANTONIO SPURS,60,5,1287,222,502,58,185,99,113,56,266,101,26,28,78,89
georgpa01,Paul George,SMALL FORWARD,29,LOS ANGELES CLIPPERS,42,42,1222,291,674,133,333,165,187,22,219,162,56,20,113,101
gibsota01,Taj Gibson,CENTER,34,NEW YORK KNICKS,62,56,1025,167,286,4,14,41,56,111,156,52,27,30,47,122
gilesha01,Harry Giles,POWER FORWARD,21,SACRAMENTO KINGS,38,17,579,116,207,0,0,33,43,33,126,49,21,14,35,100
gilgesh01,Shai Gilgeous-Alexander,SHOOTING GUARD,21,OKLAHOMA CITY THUNDER,63,63,2214,442,935,78,222,254,317,45,339,208,70,45,117,108
goberru01,Rudy Gobert,CENTER,27,UTAH JAZZ,62,62,2142,353,506,0,0,228,367,211,639,93,47,124,120,196
goodwbr01,Brandon Goodwin,POINT GUARD,24,ATLANTA HAWKS,34,1,430,76,190,26,87,28,30,11,61,51,12,4,29,43
gordoaa01,Aaron Gordon,POWER FORWARD,24,ORLANDO MAGIC,58,58,1914,314,726,68,226,137,203,103,338,215,50,36,94,116
gordoer01,Eric Gordon,SHOOTING GUARD,31,HOUSTON ROCKETS,34,13,972,162,438,92,288,78,103,8,57,52,22,12,36,68
grahade01,Devonte' Graham,POINT GUARD,24,CHARLOTTE HORNETS,63,53,2211,368,963,218,585,191,233,42,170,471,62,15,181,115
grahatr01,Treveon Graham,SHOOTING GUARD,26,MINNESOTA TIMBERWOLVES,33,20,663,62,175,20,83,27,37,29,71,30,17,2,19,66
grahatr01,Treveon Graham,SHOOTING GUARD,26,ATLANTA HAWKS,22,0,266,25,67,13,37,9,19,22,28,15,7,4,10,36
grantje01,Jerami Grant,POWER FORWARD,25,DENVER NUGGETS,64,22,1676,263,558,88,220,128,172,53,174,79,44,52,55,141
grayjo01,Josh Gray,POINT GUARD,26,NEW ORLEANS PELICANS,2,0,23,1,2,0,0,0,0,1,1,2,0,0,5,1
greenda02,Danny Green,SHOOTING GUARD,32,LOS ANGELES LAKERS,61,61,1529,178,425,113,299,32,44,44,162,86,76,29,54,129
greendr01,Draymond Green,POWER FORWARD,29,GOLDEN STATE WARRIORS,43,43,1222,123,316,36,129,63,83,23,243,266,59,33,98,110
greenja01,JaMychal Green,POWER FORWARD,29,LOS ANGELES CLIPPERS,55,0,1130,125,302,74,204,32,44,75,273,43,25,20,45,146
greenja02,Javonte Green,SMALL FORWARD,26,BOSTON CELTICS,44,1,414,49,98,6,23,23,36,18,62,23,23,7,18,37
greenje02,Jeff Green,POWER FORWARD,33,UTAH JAZZ,30,2,553,75,195,34,104,49,63,14,67,20,12,10,27,46
greenje02,Jeff Green,POWER FORWARD,33,HOUSTON ROCKETS,10,0,201,41,66,14,34,8,10,9,23,12,9,5,9,19
griffbl01,Blake Griffin,POWER FORWARD,30,DETROIT PISTONS,18,18,512,88,250,27,111,76,98,17,67,59,7,7,40,27
gudurma01,Marko Guduric,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,42,0,476,61,154,25,81,23,25,14,57,45,12,8,36,34
guyky01,Kyle Guy,SHOOTING GUARD,22,SACRAMENTO KINGS,2,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0
hachiru01,Rui Hachimura,POWER FORWARD,21,WASHINGTON WIZARDS,41,41,1217,218,456,20,73,92,111,63,185,70,34,7,41,89
hallde01,Devon Hall,SHOOTING GUARD,24,OKLAHOMA CITY THUNDER,5,0,20,1,5,0,2,3,4,0,1,3,0,0,1,1
halldo01,Donta Hall,POWER FORWARD,22,DETROIT PISTONS,4,0,48,1,4,0,0,4,6,6,9,2,1,1,2,9
hannadu01,Dusty Hannahs,SHOOTING GUARD,26,MEMPHIS GRIZZLIES,2,0,13,4,9,2,3,2,2,0,1,0,0,0,0,1
hardati02,Tim Hardaway Jr.,SHOOTING GUARD,27,DALLAS MAVERICKS,63,50,1815,346,792,185,455,121,151,23,175,124,39,5,61,105
hardeja01,James Harden,SHOOTING GUARD,30,HOUSTON ROCKETS,61,61,2241,603,1386,271,769,619,719,64,324,450,106,53,273,206
harklma01,Maurice Harkless,SMALL FORWARD,26,LOS ANGELES CLIPPERS,50,38,1141,112,217,27,73,24,42,47,153,48,49,30,46,120
harklma01,Maurice Harkless,SMALL FORWARD,26,NEW YORK KNICKS,12,10,286,30,66,7,25,15,24,8,32,20,9,3,7,28
harpeja01,Jared Harper,POINT GUARD,22,PHOENIX SUNS,3,0,8,1,4,0,2,0,0,0,0,0,0,0,0,0
harremo01,Montrezl Harrell,CENTER,26,LOS ANGELES CLIPPERS,63,2,1749,471,812,0,18,231,351,163,282,107,39,72,108,146
harriga01,Gary Harris,SHOOTING GUARD,25,DENVER NUGGETS,56,55,1780,218,519,70,210,75,92,26,137,118,76,14,60,116
harrijo01,Joe Harris,SMALL FORWARD,28,BROOKLYN NETS,63,63,1946,332,705,152,369,62,83,60,212,130,38,16,93,138
harrito02,Tobias Harris,POWER FORWARD,27,PHILADELPHIA 76ERS,65,65,2243,494,1046,117,323,154,191,54,386,205,49,35,97,148
harrish01,Shaquille Harrison,SMALL FORWARD,26,CHICAGO BULLS,43,10,484,77,165,16,42,39,50,22,64,49,34,19,19,55
hartjo01,Josh Hart,SMALL FORWARD,24,NEW ORLEANS PELICANS,57,14,1563,200,481,111,325,68,91,54,316,94,59,21,65,144
harteis01,Isaiah Hartenstein,CENTER,21,HOUSTON ROCKETS,23,2,266,44,67,0,5,19,28,29,61,18,9,12,16,41
hasleud01,Udonis Haslem,POWER FORWARD,39,MIAMI HEAT,3,0,21,1,6,0,2,3,4,0,8,1,0,0,0,3
hayesja02,Jaxson Hayes,CENTER,19,NEW ORLEANS PELICANS,56,12,951,155,235,1,4,109,173,82,141,51,23,53,41,142
haywago01,Gordon Hayward,SMALL FORWARD,29,BOSTON CELTICS,45,45,1501,305,607,74,189,94,111,45,249,185,35,20,79,81
hensojo01,John Henson,POWER FORWARD,29,CLEVELAND CAVALIERS,29,2,412,61,120,6,31,17,33,32,82,43,16,32,21,55
hensojo01,John Henson,POWER FORWARD,29,DETROIT PISTONS,11,6,188,34,51,2,5,6,13,14,34,11,8,10,15,23
hernade01,Dewan Hernandez,CENTER,23,TORONTO RAPTORS,4,0,11,1,5,0,1,2,2,2,5,0,1,0,1,6
hernaju01,Juan Hernangómez,POWER FORWARD,24,DENVER NUGGETS,34,0,422,38,110,15,60,16,25,24,71,22,5,5,18,29
hernaju01,Juan Hernangómez,POWER FORWARD,24,MINNESOTA TIMBERWOLVES,14,14,411,62,137,29,69,28,46,19,83,18,14,4,14,35
hernawi01,Willy Hernangómez,CENTER,25,CHARLOTTE HORNETS,31,0,375,74,139,5,22,37,59,43,91,29,10,7,30,32
herroty01,Tyler Herro,SHOOTING GUARD,20,MIAMI HEAT,47,6,1280,220,532,99,253,66,79,14,173,91,30,7,72,59
herveke01,Kevin Hervey,POWER FORWARD,23,OKLAHOMA CITY THUNDER,7,0,19,1,11,0,8,0,0,0,2,1,0,0,0,1
hezonma01,Mario Hezonja,POWER FORWARD,24,PORTLAND TRAIL BLAZERS,47,4,767,81,189,21,64,42,51,26,136,42,28,9,37,92
hieldbu01,Buddy Hield,SHOOTING GUARD,27,SACRAMENTO KINGS,64,44,2045,456,1062,244,618,112,131,57,249,197,60,17,150,150
hillge01,George Hill,POINT GUARD,33,MILWAUKEE BUCKS,52,0,1103,178,336,73,152,69,83,45,109,151,42,4,49,75
hillso01,Solomon Hill,SMALL FORWARD,28,MEMPHIS GRIZZLIES,48,3,901,96,233,56,147,26,38,24,120,94,31,7,40,73
hillso01,Solomon Hill,SMALL FORWARD,28,MIAMI HEAT,6,1,91,4,15,3,9,4,4,3,7,4,5,5,7,5
hoardja01,Jaylen Hoard,SMALL FORWARD,20,PORTLAND TRAIL BLAZERS,13,0,103,15,32,0,3,8,13,14,18,4,5,0,4,12
holidaa01,Aaron Holiday,POINT GUARD,23,INDIANA PACERS,58,26,1368,202,496,80,203,62,72,21,111,193,45,13,75,102
holidjr01,Jrue Holiday,SHOOTING GUARD,29,NEW ORLEANS PELICANS,55,55,1922,421,931,115,322,119,170,70,198,378,92,44,158,125
